"Ramsar Site No.","Site name","Region","Country","Territory","Designation date","Last publication date","Area (ha)","Latitude","Longitude","Annotated summary","Criterion1","Criterion2","Criterion3","Criterion4","Criterion5","Criterion6","Criterion7","Criterion8","Criterion9","Wetland Type","Maximum elevation","Minimum elevation","Montreux listed","Management plan implemented","Management plan available","Ecosystem services","Threats","large administrative region","Global international legal designations","Regional international legal designations","National conservation designation","Does the wetland extend onto the territory of one or more other countries?","Ramsar Advisory Mission?"
"2549","Nanjarayan Bird Sanctuary","Asia","India","","2024-01-16","2024-08-26","125.865","11.134389983936","77.386125173897","<p>The Site is a freshwater lake located within Neruperichal and Sarkar Periyapalayam villages in Tiruppur district, Tamil Nadu. It holds historical significance, having been named after King Nanjarayan who constructed the reservoir 400 years ago. The lake&rsquo;s water levels fluctuate based on rainfall and runoff from the surrounding catchment area and Nallar River. During periods of high rainfall, excess water is diverted to Sarkar Periyapalayam village for irrigation. In 2022, the Site was designated as a Bird Sanctuary. Gum arabic trees (<em>Vachellia nilotica</em>) on the bunds of the lake provide refuge and nesting habitats for waterbirds such as the Indian darter (<em>Anhinga melanogaster</em>) and Indian cormorant (<em>Phalacrocorax fuscicollis</em>). The wetland banks also provide suitable breeding grounds for the Indian flapshell turtle (<em>Lissemys punctata</em>). Overall, the lake and its environs host 191 species of birds, 87 butterflies, 77 plants, 21 reptiles, 11 small mammals and 7 amphibians. The local villages rely on the lake for agricultural activities, while the forest department manages the Site in collaboration with established local community groups.</p>","No","Yes","Yes","Yes","No","Yes","No","No","No","Inland wetlands, O: Permanent freshwater lakes","290","285","No","Yes","Yes","Provisioning Services, Food for humans, Fresh water, Regulating Services, Maintenance of hydrological regimes, Erosion protection, Climate regulation, Biological control of pests and disease, Cultural Services, Recreation and tourism, Supporting Services, Biodiversity, Nutrient cycling","Water regulation, Drainage, Canalisation and river regulation, Pollution, Household sewage, urban waste water, Climate change & severe weather, Habitat shifting and alteration, Droughts, Temperature extremes, Human settlements (non agricultural), Housing and urban areas, Agriculture & aquaculture, Marine and freshwater aquaculture, Natural system modifications, Dams and water management/use, Invasive and other problematic species and genes, Invasive non-native/ alien species","The wetland is situated at a distance of approximately 10 kms from Tiruppur town on the north side on the Tiruppur-Uthukuli main road. Nanjarayan Lake Bird Sanctuary is locally known as ","","","","No","No"
"2412","Nawabganj Bird Sanctuary","Asia","India","","2019-09-19","2020-02-01","224.6","26.613748563693","80.65495285113","<p>A shallow marshland 45 kilometres from Lucknow in Uttar Pradesh. Monsoon rains feed this diverse wetland while the Sarda Canal supplies additional water. The Sanctuary supports recreation and tourism activities as well as local biodiversity. It is a haven for birds, with 25,000 waterbirds regularly recorded and 220 resident and migratory species documented. Among these are globally threatened species including the endangered Egyptian vulture (<em>Neophron percnopterus</em>) and Pallas&rsquo;s fish eagle (<em>Haliaeetus leucoryphus</em>) as well as the vulnerable lesser adjutant (<em>Leptoptilos javanicus</em>) and woolly-necked stork (<em>Ciconia episcopus</em>). Protection and afforestation measures have helped increase the overall diversity of wildlife, with golden jackal (<em>Canis aureus</em>) and jungle cat (<em>Felis chaus</em>) now present. The highly invasive common water hyacinth (<em>Eichhornia crassipes</em>) poses a threat, as does the removal of timber from the forests. State forest officers along with the Office of the Conservator of Forest (Wildlife) jointly manage the Sanctuary.</p>","No","Yes","Yes","Yes","Yes","Yes","No","No","No","Inland wetlands, Ts: Seasonal/ intermittent freshwater marshes/ pools on inorganic soils","113","110","No","Yes","Yes","Regulating Services, Maintenance of hydrological regimes, Cultural Services, Recreation and tourism, Supporting Services, Biodiversity","Agriculture & aquaculture, Annual and perennial non-timber crops, Water regulation, Canalisation and river regulation, Invasive and other problematic species and genes, Invasive non-native/ alien species","Nawabganj Bird Sanctuary is situated in Hasanganj tehsil of Unnao district of Uttar Pradesh, India. It is about 50 Km from Lucknow on the Lucknow-Kanpur highway. It is 18 Km from district head quarter Unnao.","","","Overlapping site categories, Non-statutory designations, Important Bird Area","No","No"
"2484","Pala Wetland","Asia","India","","2021-08-31","2022-07-25","1850","22.19710038801","92.902198105542","<p>Pala Wetland is the largest natural wetland in the state of Mizoram. The Site includes a relatively deep lake (over 16 metres deep on average) and its surrounding forest catchment area which climbs to almost 600m above sea level. The wetland supports a rich diversity of animal species, including at least seven mammals, 222 birds, 11 amphibians and 21 reptiles. The low-lying marshy areas within the wetland provide excellent habitat for many herbivores such as sambar deer (<em>Cervus unicolor</em>), wild pig (<em>Sus scrofa</em>) and barking deer (<em>Muntiacus muntjak</em>). Various species of primate also inhabit the wetland, such as the endangered Hoolock gibbon (<em>Hoolock hoolock</em>) and Phayre&rsquo;s leaf monkey (<em>Trachypithecus phayrei</em>). Pala Wetland is revered by the local Mara people and has a deep connection with their history. The wetland is the major source of freshwater and fish for the villages at its fringe and also the major source of irrigation water for wet rice cultivation, horticulture and other forms of agriculture. Although classified as a Wetland Reserve by the national authorities, the Site is threatened by the construction of roads and railroads, hunting and collecting of land animals, illegal logging and wood harvesting. However, a management plan is being implemented to mitigate these threats.</p>","Yes","Yes","Yes","Yes","No","No","No","No","No","Inland wetlands, Xf: Freshwater, tree-dominated wetlands, O: Permanent freshwater lakes","589","274","No","Yes","Yes","Regulating Services, Maintenance of hydrological regimes, Erosion protection, Cultural Services, Spiritual and inspirational, Recreation and tourism, Scientific and educational, Provisioning Services, Food for humans, Fresh water, Wetland non-food products, Supporting Services, Pollination, Biodiversity, Nutrient cycling","Human settlements (non agricultural), Housing and urban areas, Water regulation, Canalisation and river regulation, Agriculture & aquaculture, Livestock farming and ranching, Transportation and service corridors, Roads and railroads, Biological resource use, Hunting and collecting terrestrial animals, Logging and wood harvesting, Human intrusions & disturbance, Recreational and tourism activities, Natural system modifications, Vegetation clearance/ land conversion, Invasive and other problematic species and genes, Invasive non-native/ alien species, Geological events, Earthquakes/tsunamis, Climate change & severe weather, Habitat shifting and alteration","Mizoram","","","","No","No"
"2481","Pallikaranai Marsh Reserve Forest","Asia","India","","2022-04-08","2022-07-25","1247.537","12.927845763295","80.220484456914","<p>This freshwater marsh and partly saline wetland situated about 20 kilometres south of the city of Chennai serves as an aquatic buffer of the flood-prone Chennai and Chengalpattu districts. The diverse ecosystem of the marshland supports some 115 bird species, ten mammals, 21 reptiles, ten amphibians, 46 fish, nine molluscs, five crustaceans, and seven butterfly species. These include notable species such as Russell&rsquo;s viper (<em>Daboia siamensis</em>) and birds such as the glossy ibis (<em>Plegadis falcinellus</em>), grey-headed lapwings (<em>Vanellus cinereus</em>) and Pheasant-tailed jacana (<em>Hydrophasianus chirurgus</em>). Apart from its biodiversity value, the wetland also plays a vital role in the prevention of flooding for the city of Chennai, soaking up water during wet periods and releasing it during dry spells. Inhabitants of seven surrounding villages partially depend on the wetland for their subsistence. The Site is threatened by invasive and non-native species, household sewage, urban wastewater and droughts. In response, the Conservation Authority of Pallikaranai Marsh is currently implementing a site-specific management plan.</p>","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","No","Inland wetlands, Ss: Seasonal/ intermittent saline/ brackish/ alkaline marshes/ pools, Marine or coastal wetlands, H: Intertidal marshes","4","2","No","No","Yes","Provisioning Services, Fresh water, Wetland non-food products, Food for humans, Regulating Services, Maintenance of hydrological regimes, Erosion protection, Hazard reduction, Climate regulation, Biological control of pests and disease, Cultural Services, Recreation and tourism, Spiritual and inspirational, Scientific and educational, Supporting Services, Biodiversity, Soil formation, Nutrient cycling","Biological resource use, Unspecified, Human settlements (non agricultural), Commercial and industrial areas, Housing and urban areas, Unspecified development, Water regulation, Water abstraction, Water releases, Agriculture & aquaculture, Livestock farming and ranching, Non specified, Energy production and mining, Unspecified, Transportation and service corridors, Roads and railroads, Human intrusions & disturbance, Unspecified/others, Natural system modifications, Vegetation clearance/ land conversion, Unspecified/others, Invasive and other problematic species and genes, Invasive non-native/ alien species, Pollution, Household sewage, urban waste water, Industrial and military effluents, Garbage and solid waste, Air-borne pollutants, Excess heat, sound, light, Geological events, Unspecified, Climate change & severe weather, Habitat shifting and alteration, Droughts, Temperature extremes, Storms and flooding","Chennai City","Overlapping site categories, Global international legal and other formal, Other global designation","Overlapping site categories, Regional international legal and other formal designations, Other international designation","Overlapping site categories, Non-statutory designations, Important Bird Area, Other non-statutory designation","No","No"
"2416","Parvati Arga Bird Sanctuary","Asia","India","","2019-12-02","2020-02-01","722","26.936059584501","82.162702651855","<p>Parvati Arga Bird Sanctuary is a permanent freshwater environment consisting of two oxbow lakes. These wetlands are characteristic of Uttar Pradesh and offer exceptional habitats for waterbirds, providing both roosting and breeding sites with over 100,000 birds documented in annual counts. The Sanctuary is a refuge for some of India&rsquo;s threatened vulture species: the critically endangered white-rumped vulture (<em>Gyps bengalensis</em>) and Indian vulture (<em>Gyps indicus</em>), and the endangered Egyptian vulture (<em>Neophron percnopterus</em>) have all been recorded. It is also critical in the maintenance of hydrological regimes, ensuring groundwater recharge and discharge. Meanwhile ancient temples around the lakes provide religious significance and encourage tourism. Invasive species such as the common water hyacinth (<em>Eichhornia crassipes</em>) along with the development of roads and railways present significant threats. The Uttar Pradesh Divisional Forest Officer and Chief Conservator of Forests along with Sanctuary Officers share management duties.</p>","No","Yes","Yes","Yes","Yes","No","No","Yes","No","Inland wetlands, O: Permanent freshwater lakes","95","93","No","Yes","Yes","Provisioning Services, Fresh water, Regulating Services, Maintenance of hydrological regimes, Cultural Services, Scientific and educational, Supporting Services, Biodiversity","Human settlements (non agricultural), Unspecified development, Water regulation, Salinisation, Transportation and service corridors, Roads and railroads, Human intrusions & disturbance, Recreational and tourism activities, Invasive and other problematic species and genes, Invasive non-native/ alien species, Pollution, Household sewage, urban waste water, Climate change & severe weather, Temperature extremes","The Sanctuary is located in the state of Uttar Pradesh, Tarabganj Tehsil, at a distance of about 40 km from Gonda District at Mankapur-Nawabganj Road. ","","","Overlapping site categories, Non-statutory designations, Important Bird Area","No","No"
"2482","Pichavaram Mangrove ","Asia","India","","2022-04-08","2022-07-25","1478.642","11.438165252308","79.786586136678","<p>One of the largest mangrove ecosystems in India, located between the prominent estuaries of the Vellar and Coleroon Rivers, the Site features littoral and swamp forest habitats. It not only offers waterscape and backwater cruises but also another rare sight &ndash; the mangrove trees are permanently rooted in a few feet of water. The Site hosts a natural hybrid species, <em>Rhizophora annamalayana</em>, which is derived from two species of Rhizophora: <em>R.apiculata</em> and another natural hybrid <em>R.mucronata</em>. Like other mangrove wetlands in India, Pichavaram Mangrove supports several threatened species such as the critically endangered great white-bellied heron (<em>Ardea insignis</em>) and spoon-billed sandpiper (<em>Eurynorhynchus pygmeus</em>), the endangered spotted greenshank (<em>Tringa guttifer</em>) and the vulnerable olive ridley turtle (<em>Lepidochelys olivacea</em>). The Site also provides spawning and nursing ground for commercially important prawns, mainly white prawn (<em>Penaeus indicus</em>) and tiger prawn (<em>P. monodon</em>), crabs and fish. In addition to this exceptional biodiversity, the Site supports the livelihoods of over 1,000 families through artisanal fishing, firewood collection, non-timber forest product harvesting, and grazing lands for livestock. The mangroves are revered by the local communities due to the significant spiritual value associated with <em>Excoecaria agallocha</em>, a mangrove with toxic properties commonly known as &ldquo;Tillai&rdquo;. Despite being declared a Reserve Forest since 1893, the Site has no management plan.</p>","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Marine or coastal wetlands, I: Intertidal forested wetlands","6","6","No","No","No","Regulating Services, Hazard reduction, Erosion protection, Provisioning Services, Food for humans, Fresh water, Cultural Services, Recreation and tourism, Spiritual and inspirational, Scientific and educational, Supporting Services, Biodiversity, Nutrient cycling","Human settlements (non agricultural), Housing and urban areas, Commercial and industrial areas, Water regulation, Salinisation, Agriculture & aquaculture, Livestock farming and ranching, Biological resource use, Gathering terrestrial plants, Logging and wood harvesting, Fishing and harvesting aquatic resources, Hunting and collecting terrestrial animals, Energy production and mining, Mining and quarrying, Natural system modifications, Unspecified/others, Vegetation clearance/ land conversion, Invasive and other problematic species and genes, Invasive non-native/ alien species, Pollution, Agricultural and forestry effluents, Household sewage, urban waste water, Industrial and military effluents","The Headquaters of the pichavaram Mangrove is located at Cuddalore town, in Cuddalore district,Tamil Nadu","","","","No","No"
"1210","Point Calimere Wildlife and Bird Sanctuary","Asia","India","","2002-08-19","2002-08-19","38500","10.316666666667","79.633333333333","Point Calimere Wildlife and Bird Sanctuary. 19/08/02. Tamil Nadu. 38,500 ha. 10°19'N 079°38'E. Wildlife Sanctuary. A coastal area consisting of shallow waters, shores, and long sand bars, intertidal flats and intertidal forests, chiefly mangrove, and seasonal, often-saline lagoons, as well as human-made salt exploitation sites. Some 257 species of birds have been recorded, 119 of them waterbirds, including the vulnerable species Spoonbill Sandpiper (Euryhorhynchus pygmaeus) and Grey Pelican (Pelecanus philippensis) and some 30,000 Greater and Lesser Flamingos. The site serves as the breeding ground or nursery for many commercially important species of fish, as well as for prawns and crabs. Some 35,000 fishermen and agriculturalists support their families around the borders of the sanctuary. Illegal collection of firewood and forest produce such as fruits (gathered by lopping off tree branches), the spread of Prosopis chilensis (Chilean mesquite), increasingly brackish groundwater caused by expansion of the historical salt works, and decreasing inflow of freshwater are all seen as potential causes for concern. Visitors come to the site both for recreation and for pilgrimage, as it is associated with Lord Rama. Ramsar site no. 1210. Most recent RIS information: 2002.","No","Yes","No","No","Yes","Yes","No","Yes","No","Marine or coastal wetlands, A: Permanent shallow marine waters, E: Sand, shingle or pebble shores, I: Intertidal forested wetlands, J: Coastal brackish / saline lagoons, G: Intertidal mud, sand or salt flats, Human-made wetlands, 5: Salt exploitation sites","6","0","No","No","In preparation","Provisioning Services, Food for humans, Fresh water, Wetland non-food products, Regulating Services, Hazard reduction, Erosion protection, Cultural Services, Spiritual and inspirational, Recreation and tourism","Human settlements (non agricultural), Housing and urban areas, Commercial and industrial areas, Water regulation, Salinisation, Pollution, Household sewage, urban waste water, Agricultural and forestry effluents, Industrial and military effluents, Natural system modifications, Vegetation clearance/ land conversion, Dams and water management/use, Biological resource use, Gathering terrestrial plants, Fishing and harvesting aquatic resources, Logging and wood harvesting, Hunting and collecting terrestrial animals, Invasive and other problematic species and genes, Invasive non-native/ alien species, Energy production and mining, Mining and quarrying, Agriculture & aquaculture, Livestock farming and ranching","Tamil Nadu","","","","No","No"
"1211","Pong Dam Lake","Asia","India","","2002-08-19","2002-08-19","15662","32.016666666667","76.083333333333","Pong Dam Lake. 19/08/02. Himachal Pradesh. 15,662 ha. 32°01'N 076°05'E. Wildlife Sanctuary. A water storage reservoir created in 1975 on the Beas River in the low foothills of the Himalaya on the northern edge of the Indo-Gangetic plain. The RIS notes that ""at a time when wetlands in northern India are getting reduced due to extensive drainage and reclamation, the avian habitats formed by the creation of the Pong Dam assume a great significance"" - given the site's location on the trans-Himalayan flyway, more than 220 bird species have been identified, with 54 species of waterfowl. Hydrological values include monsoon-season flood prevention, both in the surroundings and downstream due to water regulation, groundwater recharge, silt trapping and prevention of soil erosion; electricity is generated for this and neighboring states, and irrigation water is being channeled to fertile areas of the Punjab and Rajasthan deserts. Low-yield subsistence fishing existed prior to impoundment, but since, a lucrative fishery has grown up, with 27 fish species and a yield increasing markedly each year - some 1800 fishermen now have direct employment and 1000 families benefit indirectly. A nature conservation education centre is found on the island of Ransar or Ramsar (sic). Recent management strategies have shifted away from law enforcement and use restrictions towards more participatory approaches and community awareness, and the site is well suited to ""community-based ecotourism"". Ramsar site no. 1211. Most recent RIS information: 2002.","No","Yes","No","No","Yes","No","No","Yes","No","Human-made wetlands, 6: Water storage areas/Reservoirs","450","450","No","Yes","Yes","Provisioning Services, Wetland non-food products, Food for humans, Fresh water, Cultural Services, Recreation and tourism, Spiritual and inspirational, Scientific and educational, Regulating Services, Maintenance of hydrological regimes, Hazard reduction, Erosion protection","Natural system modifications, Vegetation clearance/ land conversion, Dams and water management/use, Biological resource use, Hunting and collecting terrestrial animals, Fishing and harvesting aquatic resources, Logging and wood harvesting, Energy production and mining, Renewable energy, Agriculture & aquaculture, Annual and perennial non-timber crops","Himachal Pradesh","","","","No","No"
"2473","Ranganathittu Bird Sanctuary","Asia","India","","2022-02-15","2022-08-03","517.7","12.407845649384","76.682144029831","<p>Ranganthittu Bird Sanctuary is a part of the Kaveri River on the Southern Deccan Plateau. This region comprises gently rolling plains traversed by several of the large rivers that rise in the Western Ghats mountain range and flow eastward to the Bay of Bengal. The Site is an ecologically important riverine wetland, rich in plant and animal species. It supports healthy populations of mugger crocodile (<em>Crocodylus palustris</em>), smooth-coated otter (<em>Lutrogale perspicillata</em>) and hump-backed mahseer (<em>Tor remadevii</em>). The Site also supports over 1% of the global population of painted stork (<em>Mycteria leucocephala</em>), spot-billed pelican (<em>Pelecanus philippensis</em>) and black-headed ibis (<em>Threskiornis melanocephalus</em>) and as such it is classified as an Important Bird and Biodiversity Area (IBA). The wetland is well known for nature tourism which generates considerable revenue for local authorities and communities and also provides educational and research opportunities. The Site is classified as an Eco-Sensitive Zone and a management plan is currently being implemented to safeguard its ecological integrity as well as the ecosystem services provided to the local communities.</p>","No","Yes","Yes","Yes","No","Yes","Yes","Yes","No","Inland wetlands, M: Permanent rivers/ streams/ creeks","715","687","No","Yes","Yes","Provisioning Services, Fresh water, Food for humans, Regulating Services, Maintenance of hydrological regimes, Climate regulation, Pollution control and detoxification, Cultural Services, Recreation and tourism, Scientific and educational, Supporting Services, Biodiversity, Nutrient cycling, Pollination","Human settlements (non agricultural), Tourism and recreation areas, Water regulation, Water releases, Agriculture & aquaculture, Annual and perennial non-timber crops, Energy production and mining, Renewable energy, Transportation and service corridors, Roads and railroads, Biological resource use, Fishing and harvesting aquatic resources, Human intrusions & disturbance, Recreational and tourism activities, Natural system modifications, Dams and water management/use, Invasive and other problematic species and genes, Invasive non-native/ alien species, Pollution, Agricultural and forestry effluents, Household sewage, urban waste water","The site is located in Mandya district of Karnataka State, India.","","","Overlapping site categories, Non-statutory designations, Important Bird Area","No","No"
"1571","Renuka Wetland","Asia","India","","2005-11-08","2005-11-08","20","31.6166666667","77.45","Renuka Wetland. 08/11/05; Himachal Pradesh; 20 ha; 31°37'N 077°27'E. Wildlife Sanctuary, Reserve Forest. A natural wetland with freshwater springs and inland subterranean karst formations, fed by a small stream flowing from the lower Himalayan out to the Giri river. The lake is home to at least 443 species of fauna and 19 species of ichthyofauna representative of lacustrine ecosystems like Puntius, Labeo, Rasbora, Channa. Prominent vegetation ranges from dry deciduous like Shorea Robusta, Terminalia tomentosa, Dalbergia sissoo to hydrophytes. There are 103 species of birds of which 66 are residents, e.g. Crimson-breasted barbet, Mayna, Bulbul, Pheasants, Egrets, Herons, Mallards and Lapwing. Among ungulates Sambhar, Barking deer and Ghorals are also abundant in the area. The lake has high religious significance and is named after the mother of Hindu sage Parshuram, and is thus visited by thousands of pilgrims and tourists. Conservation measures so far include community awareness, and prevention of silt influx from eroded slopes and 50 ha. of massive plantation in the catchment. The site is managed by the Shimla Forest Department, Himachal Pradesh. Ramsar site no. 1571. Most recent RIS information: 2005.","No","No","Yes","Yes","No","No","No","No","No","Inland wetlands, Y: Permanent Freshwater springs; oases, W: Shrub-dominated wetlands, Xf: Freshwater, tree-dominated wetlands, U: Permanent Non-forested peatlands, Xp: Permanent Forested peatlands, Zk(b): Karst and other subterranean hydrological systems","660","660","No","No","In preparation","Provisioning Services, Wetland non-food products, Regulating Services, Maintenance of hydrological regimes, Erosion protection, Pollution control and detoxification, Cultural Services, Recreation and tourism, Spiritual and inspirational, Scientific and educational, Supporting Services, Biodiversity","Transportation and service corridors, Roads and railroads, Geological events, Avalanches/landslides, Invasive and other problematic species and genes, Problematic native species, Natural system modifications, Vegetation clearance/ land conversion, Unspecified/others, Agriculture & aquaculture, Livestock farming and ranching, Human settlements (non agricultural), Housing and urban areas, Biological resource use, Gathering terrestrial plants","Himachal Pradesh State","","","","No","No"
"1161","Ropar","Asia","India","","2002-01-22","2002-01-22","1365","31.016666666667","76.5","Ropar. 22/01/02; Punjab; 1,365 ha; 31°01'N 076°30'E. National Wetland. A humanmade wetland of lake and river formed by the 1952 construction of a barrage for diversion of water from the Sutlej River for drinking and irrigation supplies. The site is an important breeding place for the nationally protected Smooth Indian Otter, Hog Deer, Sambar, and several reptiles, and the endangered Indian Pangolin (Manis crassicaudata) is thought to be present. Some 35 species of fish play an important role in the food chain, and about 150 species of local and migratory birds are supported. Local fisheries are economically significant, and wheat, rice, sugar cane, and sorghum are cultivated in the surrounding area. Deforested local hills leading to siltation, and increasing industrialization causing an inflow of pollutants, are potential threats, and invasive weeds are a further cause for concern. Nature lovers, birdwatchers, swimmers and boaters visit the site in considerable numbers. Ramsar site no. 1161.Most recent RIS information: 2001.","No","Yes","Yes","No","No","No","No","No","No","Human-made wetlands, 6: Water storage areas/Reservoirs, Inland wetlands, O: Permanent freshwater lakes, M: Permanent rivers/ streams/ creeks","275","275","No","No","No","Regulating Services, Maintenance of hydrological regimes, Provisioning Services, Fresh water, Food for humans, Cultural Services, Recreation and tourism, Spiritual and inspirational, Scientific and educational","Natural system modifications, Unspecified/others, Biological resource use, Hunting and collecting terrestrial animals, Fishing and harvesting aquatic resources, Pollution, Agricultural and forestry effluents, Industrial and military effluents, Household sewage, urban waste water, Human settlements (non agricultural), Commercial and industrial areas, Housing and urban areas, Invasive and other problematic species and genes, Invasive non-native/ alien species","Punjab","","","","No","No"
"1572","Rudrasagar Lake","Asia","India","","2005-11-08","2005-11-08","240","23.4833333333","91.2666666667","Rudrasagar Lake. 08/11/05; Tripura; 240 ha; 23°29'N 090°01'E. A lowland sedimentation reservoir in the northeast hills, fed by three perennial streams discharging to the River Gomti. The lake is abundant in commercially important freshwater fishes like Botia spp, Notopterus Chitala, Mystus spp., Ompok pabda, Labeo bata, and freshwater scampi, with annual production of 26 metric-tons, and an ideal habitat for IUCN Redlisted Three-striped Roof Turtle Kachuga dhongka. Owing to high rainfall (2500mm) and downstream topography, the wetland is regularly flooded with 4-5 times annual peak, assisting in groundwater recharge. Aquatic weeds are composed of rare marginal-floating-emergent-submerged weeds. Lands are owned by the state with perennial water areas leased out to the subsistent fishermens' cooperative, and surrounding seasonal waterbodies are cultivated for paddy. Main threats are increasing silt loads due to deforestation, expansion of agricultural land and intensive farming, and land conversion for population pressure. Vijaya Dashami, one of the most important Hindu festivals with various sports events, attracts at least 50,000 tourists and devotees every year. A management plan is underway by the MoEF-India. Ramsar site no. 1572. Most recent RIS information: 2005.","No","Yes","Yes","No","No","No","No","Yes","No","Inland wetlands, P: Seasonal/ intermittent freshwater lakes, Ts: Seasonal/ intermittent freshwater marshes/ pools on inorganic soils, O: Permanent freshwater lakes","16","7","No","No","No","Regulating Services, Maintenance of hydrological regimes, Hazard reduction, Erosion protection, Cultural Services, Spiritual and inspirational, Recreation and tourism, Provisioning Services, Wetland non-food products, Food for humans, Fresh water","Natural system modifications, Unspecified/others, Vegetation clearance/ land conversion, Human settlements (non agricultural), Housing and urban areas, Biological resource use, Logging and wood harvesting, Agriculture & aquaculture, Annual and perennial non-timber crops","West Tripura District","","","","No","No"
"2483","Sakhya Sagar","Asia","India","","2022-01-07","2022-07-25","248","25.43426633049","77.70699711644","<p>Sakhya Sagar is a human-made reservoir on the outskirts of Shivpuri town within the Madhav National Park. The Site features a mosaic of landforms including open water and surrounding marshes, plantations and a small patch of agricultural land. The north-eastern part maintains open water and marsh areas almost year-round, whereas the north-western part is often dried out. The reservoir is shallow, alkaline, and nutrient-rich. This wetland not only adds to the natural beauty of the area, but also provides a permanent source of water for wildlife, and habitat for animals including thousands of migratory waterfowl and also mugger crocodile (<em>Crocodylus palustris</em>), whose presence attracts tourists. In total, the wetland supports 19 species of fish, nine reptiles and 19 mammals, and is an important staging ground for 73 bird species. The wetland also plays a vital role in nutrient cycling, groundwater recharge, and regulating the micro-climate of the area. The Site is one of the &ldquo;three lakes of Shivpuri&rdquo; and as such, it benefits from the Shivpuri Management and Conservation Plan implemented by the Local Urban Municipality.</p>","No","Yes","Yes","No","No","No","Yes","No","No","Human-made wetlands, 6: Water storage areas/Reservoirs","462","433","No","Yes","Yes","Provisioning Services, Wetland non-food products, Genetic materials, Regulating Services, Maintenance of hydrological regimes, Erosion protection, Climate regulation, Cultural Services, Scientific and educational, Recreation and tourism, Supporting Services, Biodiversity, Nutrient cycling","Climate change & severe weather, Temperature extremes, Storms and flooding, Agriculture & aquaculture, Livestock farming and ranching, Biological resource use, Fishing and harvesting aquatic resources, Human intrusions & disturbance, Recreational and tourism activities, Human settlements (non agricultural), Housing and urban areas, Water regulation, Drainage, Water abstraction, Transportation and service corridors, Roads and railroads, Natural system modifications, Dams and water management/use, Fire and fire suppression, Pollution, Household sewage, urban waste water, Agricultural and forestry effluents, Invasive and other problematic species and genes, Invasive non-native/ alien species","The wetland is situated in Shivpuri District in the state of Madhya Pradesh","","","","No","No"
"2561","Sakkarakottai Bird Sanctuary","Asia","India","","2024-07-15","2025-02-02","230.49","9.3389908603269","78.823152815979","<p>The Site is a peri-urban wetland located within three villages in southern Tamil Nadu. The wetland plays a crucial role in maintaining the hydrological regime of the area, preventing soil erosion, replenishing groundwater, and serving as a buffer during floods and extreme rainfall. It supports more than 120 species of birds, and in 2012, the Site was designated as a bird sanctuary. The abundant babul (<em>Acacia nilotica</em>) trees in the Site provide ideal nesting habitat for eight bird species, including the near-threatened spot-billed pelican (<em>Pelecanus philippensis</em>). The Site also provides vital habitat for amphibians, reptiles and invertebrates. The wetland&rsquo;s water, enriched by bird droppings, is used by local communities in agriculture. This relationship has fostered sentiments supportive to the protection of birds among villagers. &nbsp;</p>","No","Yes","Yes","Yes","No","No","No","No","No","Inland wetlands, P: Seasonal/ intermittent freshwater lakes","17","14","No","Yes","Yes","Provisioning Services, Fresh water, Regulating Services, Maintenance of hydrological regimes, Erosion protection, Biological control of pests and disease, Hazard reduction, Cultural Services, Recreation and tourism, Scientific and educational, Supporting Services, Biodiversity, Soil formation, Nutrient cycling, Pollination","Human settlements (non agricultural), Housing and urban areas, Water regulation, Water abstraction, Agriculture & aquaculture, Livestock farming and ranching, Biological resource use, Fishing and harvesting aquatic resources, Human intrusions & disturbance, Recreational and tourism activities, Invasive and other problematic species and genes, Invasive non-native/ alien species, Pollution, Agricultural and forestry effluents, Climate change & severe weather, Habitat shifting and alteration, Droughts, Temperature extremes","Ramanathapuram District","","","","No","No"
